umd_tree_cover_loss__year,esa_land_cover_2015__class,area__ha,province,year
2024,Water,110.72929,Sulawesi Selatan,2024.0
2025,Agriculture,29888.36314,Sulawesi Selatan,2025.0
2025,Forest,95.10390999999998,Sulawesi Selatan,2025.0
2025,Grassland,259.33577,Sulawesi Selatan,2025.0
2025,Settlement,16.10668,Sulawesi Selatan,2025.0
2025,Water,127.78163,Sulawesi Selatan,2025.0
null,Agriculture,4842137.25093,Sulawesi Selatan,
null,Forest,47216.27467,Sulawesi Selatan,
null,Grassland,137079.84399,Sulawesi Selatan,
null,Permanent snow and ice,65.06685,Sulawesi Selatan,
null,Settlement,7872.02196,Sulawesi Selatan,
null,Water,16307091.85951,Sulawesi Selatan,
2001,Agriculture,9635.11455,Sulawesi Tenggara,2001.0
2001,Forest,68.27878,Sulawesi Tenggara,2001.0
2001,Grassland,58.82207,Sulawesi Tenggara,2001.0
2001,Settlement,1.38084,Sulawesi Tenggara,2001.0
2001,Water,113.79428,Sulawesi Tenggara,2001.0
2002,Agriculture,9944.20854,Sulawesi Tenggara,2002.0
2002,Forest,68.21435,Sulawesi Tenggara,2002.0
2002,Grassland,65.7081,Sulawesi Tenggara,2002.0
2002,Settlement,14.65228,Sulawesi Tenggara,2002.0
2002,Water,104.11759,Sulawesi Tenggara,2002.0
2003,Agriculture,8640.52984,Sulawesi Tenggara,2003.0
2003,Forest,65.13023,Sulawesi Tenggara,2003.0
2003,Grassland,55.254960000000004,Sulawesi Tenggara,2003.0
2003,Settlement,3.45211,Sulawesi Tenggara,2003.0
2003,Water,78.24141,Sulawesi Tenggara,2003.0
2004,Agriculture,26662.753279999997,Sulawesi Tenggara,2004.0
2004,Forest,127.58484,Sulawesi Tenggara,2004.0
2004,Grassland,283.14252,Sulawesi Tenggara,2004.0
2004,Settlement,19.79208,Sulawesi Tenggara,2004.0
2004,Water,135.32828,Sulawesi Tenggara,2004.0
2005,Agriculture,11254.14131,Sulawesi Tenggara,2005.0
2005,Forest,52.94686,Sulawesi Tenggara,2005.0
2005,Grassland,311.84981000000005,Sulawesi Tenggara,2005.0
2005,Settlement,3.68225,Sulawesi Tenggara,2005.0
2005,Water,84.66882000000001,Sulawesi Tenggara,2005.0
2006,Agriculture,29978.79341,Sulawesi Tenggara,2006.0
2006,Forest,68.81237999999999,Sulawesi Tenggara,2006.0
2006,Grassland,183.94693999999998,Sulawesi Tenggara,2006.0
2006,Settlement,7.51793,Sulawesi Tenggara,2006.0
2006,Water,171.27913999999998,Sulawesi Tenggara,2006.0
2007,Agriculture,7190.27344,Sulawesi Tenggara,2007.0
2007,Forest,24.25259,Sulawesi Tenggara,2007.0
2007,Grassland,98.79086000000001,Sulawesi Tenggara,2007.0
2007,Water,46.1468,Sulawesi Tenggara,2007.0
2008,Agriculture,6176.45218,Sulawesi Tenggara,2008.0
2008,Forest,16.56703,Sulawesi Tenggara,2008.0
2008,Grassland,73.70328,Sulawesi Tenggara,2008.0
2008,Water,94.65014,Sulawesi Tenggara,2008.0
2009,Agriculture,19759.89644,Sulawesi Tenggara,2009.0
2009,Forest,112.62412,Sulawesi Tenggara,2009.0
2009,Grassland,215.76165999999998,Sulawesi Tenggara,2009.0
2009,Settlement,1.22742,Sulawesi Tenggara,2009.0
2009,Water,316.89553,Sulawesi Tenggara,2009.0
2010,Agriculture,5623.08384,Sulawesi Tenggara,2010.0
2010,Forest,25.93469,Sulawesi Tenggara,2010.0
2010,Grassland,80.31936,Sulawesi Tenggara,2010.0
2010,Water,53.07209,Sulawesi Tenggara,2010.0
2011,Agriculture,15458.65124,Sulawesi Tenggara,2011.0
2011,Forest,81.10207,Sulawesi Tenggara,2011.0
2011,Grassland,163.32669,Sulawesi Tenggara,2011.0
2011,Settlement,0.76713,Sulawesi Tenggara,2011.0
2011,Water,378.98636999999997,Sulawesi Tenggara,2011.0
2012,Agriculture,14887.21793,Sulawesi Tenggara,2012.0
2012,Forest,43.58472,Sulawesi Tenggara,2012.0
2012,Grassland,104.75626,Sulawesi Tenggara,2012.0
2012,Settlement,0.7671300000000001,Sulawesi Tenggara,2012.0
2012,Water,224.31159000000002,Sulawesi Tenggara,2012.0
2013,Agriculture,11726.053609999999,Sulawesi Tenggara,2013.0
2013,Forest,52.395520000000005,Sulawesi Tenggara,2013.0
2013,Grassland,98.36532,Sulawesi Tenggara,2013.0
2013,Settlement,0.46028,Sulawesi Tenggara,2013.0
2013,Water,152.25348,Sulawesi Tenggara,2013.0
2014,Agriculture,30621.45393,Sulawesi Tenggara,2014.0
2014,Forest,115.06867,Sulawesi Tenggara,2014.0
2014,Grassland,182.85199,Sulawesi Tenggara,2014.0
2014,Settlement,0.7671300000000001,Sulawesi Tenggara,2014.0
2014,Water,271.80144,Sulawesi Tenggara,2014.0
2015,Agriculture,31614.38968,Sulawesi Tenggara,2015.0
2015,Forest,136.14379,Sulawesi Tenggara,2015.0
2015,Grassland,221.97318,Sulawesi Tenggara,2015.0
2015,Settlement,0.69042,Sulawesi Tenggara,2015.0
2015,Water,286.58371,Sulawesi Tenggara,2015.0
2016,Agriculture,28609.24765,Sulawesi Tenggara,2016.0
2016,Forest,188.26597999999998,Sulawesi Tenggara,2016.0
2016,Grassland,212.02776,Sulawesi Tenggara,2016.0
2016,Settlement,0.92056,Sulawesi Tenggara,2016.0
2016,Water,278.35145,Sulawesi Tenggara,2016.0
2017,Agriculture,20086.619300000002,Sulawesi Tenggara,2017.0
2017,Forest,66.50417,Sulawesi Tenggara,2017.0
2017,Grassland,136.49982,Sulawesi Tenggara,2017.0
2017,Settlement,1.30413,Sulawesi Tenggara,2017.0
2017,Water,173.36018,Sulawesi Tenggara,2017.0
2018,Agriculture,18366.37421,Sulawesi Tenggara,2018.0
2018,Forest,56.4656,Sulawesi Tenggara,2018.0
2018,Grassland,223.70967000000002,Sulawesi Tenggara,2018.0
