umd_tree_cover_loss__year,wdpa_protected_areas__iucn_cat,area__ha,province,year
2010,1,37.07893,Gorontalo,2010.0
2010,2,5.154120000000001,Gorontalo,2010.0
2011,0,3243.25262,Gorontalo,2011.0
2011,1,49.925779999999996,Gorontalo,2011.0
2011,2,16.924,Gorontalo,2011.0
2012,0,3586.42505,Gorontalo,2012.0
2012,1,56.003029999999995,Gorontalo,2012.0
2012,2,16.69322,Gorontalo,2012.0
2013,0,3625.58102,Gorontalo,2013.0
2013,1,28.69386,Gorontalo,2013.0
2013,2,11.76986,Gorontalo,2013.0
2014,0,10231.24655,Gorontalo,2014.0
2014,1,67.54212,Gorontalo,2014.0
2014,2,22.07812,Gorontalo,2014.0
2015,0,18209.755689999998,Gorontalo,2015.0
2015,1,240.24378000000002,Gorontalo,2015.0
2015,2,70.61921,Gorontalo,2015.0
2016,0,15167.66782,Gorontalo,2016.0
2016,1,132.62257,Gorontalo,2016.0
2016,2,380.40522,Gorontalo,2016.0
2017,0,11682.09438,Gorontalo,2017.0
2017,1,169.85536,Gorontalo,2017.0
2017,2,51.07969,Gorontalo,2017.0
2018,0,11360.61542,Gorontalo,2018.0
2018,1,148.46958,Gorontalo,2018.0
2018,2,26.69375,Gorontalo,2018.0
2019,0,16359.1939,Gorontalo,2019.0
2019,1,188.85638,Gorontalo,2019.0
2019,2,29.3862,Gorontalo,2019.0
2020,0,4381.92969,Gorontalo,2020.0
2020,1,175.31719,Gorontalo,2020.0
2020,2,5.30798,Gorontalo,2020.0
2021,0,3374.33664,Gorontalo,2021.0
2021,1,60.08018,Gorontalo,2021.0
2021,2,3.6155800000000005,Gorontalo,2021.0
2022,0,4079.91332,Gorontalo,2022.0
2022,1,93.00504000000001,Gorontalo,2022.0
2022,2,3.07709,Gorontalo,2022.0
2023,0,11326.76744,Gorontalo,2023.0
2023,1,133.0072,Gorontalo,2023.0
2023,2,15.92394,Gorontalo,2023.0
2024,0,5118.81575,Gorontalo,2024.0
2024,1,91.69727999999999,Gorontalo,2024.0
2024,2,10.154399999999999,Gorontalo,2024.0
2025,0,5360.213449999999,Gorontalo,2025.0
2025,1,133.23798,Gorontalo,2025.0
2025,2,16.154719999999998,Gorontalo,2025.0
null,0,2533460.46806,Gorontalo,
null,1,134877.92197,Gorontalo,
null,2,101491.03642,Gorontalo,
2001,0,18445.54073,Sulawesi Barat,2001.0
2001,1,155.59046,Sulawesi Barat,2001.0
2001,2,12.459219999999998,Sulawesi Barat,2001.0
2002,0,16642.08321,Sulawesi Barat,2002.0
2002,1,397.67359999999996,Sulawesi Barat,2002.0
2002,2,8.459859999999999,Sulawesi Barat,2002.0
2003,0,8295.32259,Sulawesi Barat,2003.0
2003,1,75.53883,Sulawesi Barat,2003.0
2003,2,1.84625,Sulawesi Barat,2003.0
2004,0,20814.46945,Sulawesi Barat,2004.0
2004,1,255.80351000000002,Sulawesi Barat,2004.0
2004,2,24.53851,Sulawesi Barat,2004.0
2005,0,11803.44502,Sulawesi Barat,2005.0
2005,1,161.85677,Sulawesi Barat,2005.0
2005,2,17.61537,Sulawesi Barat,2005.0
2006,0,15036.20902,Sulawesi Barat,2006.0
2006,1,180.35173,Sulawesi Barat,2006.0
2006,2,8.92132,Sulawesi Barat,2006.0
2007,0,5761.03536,Sulawesi Barat,2007.0
2007,1,149.28941,Sulawesi Barat,2007.0
2007,2,4.30365,Sulawesi Barat,2007.0
2008,0,14983.12686,Sulawesi Barat,2008.0
2008,1,84.75135999999999,Sulawesi Barat,2008.0
2008,2,14.53551,Sulawesi Barat,2008.0
2009,0,17231.03903,Sulawesi Barat,2009.0
2009,1,168.86344000000003,Sulawesi Barat,2009.0
2009,2,43.23109,Sulawesi Barat,2009.0
2010,0,8766.97205,Sulawesi Barat,2010.0
2010,1,113.86179000000001,Sulawesi Barat,2010.0
2010,2,7.15423,Sulawesi Barat,2010.0
2011,0,16489.59887,Sulawesi Barat,2011.0
2011,1,85.61035,Sulawesi Barat,2011.0
2011,2,10.613719999999999,Sulawesi Barat,2011.0
2012,0,16354.446380000001,Sulawesi Barat,2012.0
2012,1,157.41251,Sulawesi Barat,2012.0
2012,2,12.534229999999999,Sulawesi Barat,2012.0
2013,0,11260.34522,Sulawesi Barat,2013.0
2013,1,75.85844,Sulawesi Barat,2013.0
2013,2,12.843539999999999,Sulawesi Barat,2013.0
2014,0,20700.176789999998,Sulawesi Barat,2014.0
2014,1,160.2353,Sulawesi Barat,2014.0
2014,2,23.69273,Sulawesi Barat,2014.0
2015,0,23432.90325,Sulawesi Barat,2015.0
2015,1,154.63236999999998,Sulawesi Barat,2015.0
2015,2,54.46289,Sulawesi Barat,2015.0
2016,0,22470.73689,Sulawesi Barat,2016.0
2016,1,351.46877,Sulawesi Barat,2016.0
2016,2,44.00217,Sulawesi Barat,2016.0
2017,0,19401.75431,Sulawesi Barat,2017.0
2017,1,171.74333000000001,Sulawesi Barat,2017.0
2017,2,53.53826,Sulawesi Barat,2017.0
2018,0,21267.41256,Sulawesi Barat,2018.0
2018,1,430.6457,Sulawesi Barat,2018.0
2018,2,43.23098,Sulawesi Barat,2018.0
2019,0,23878.96299,Sulawesi Barat,2019.0
2019,1,545.3920499999999,Sulawesi Barat,2019.0
2019,2,65.38517,Sulawesi Barat,2019.0
2020,0,13007.35622,Sulawesi Barat,2020.0
2020,1,116.67783,Sulawesi Barat,2020.0
2020,2,11.6907,Sulawesi Barat,2020.0
2021,0,13403.06888,Sulawesi Barat,2021.0
2021,1,95.51561000000001,Sulawesi Barat,2021.0
2021,2,6.84653,Sulawesi Barat,2021.0
2022,0,14441.65968,Sulawesi Barat,2022.0
2022,1,110.89453999999999,Sulawesi Barat,2022.0
2022,2,21.30618,Sulawesi Barat,2022.0
2023,0,26808.88284,Sulawesi Barat,2023.0
2023,1,198.10397,Sulawesi Barat,2023.0
2023,2,133.46257,Sulawesi Barat,2023.0
2024,0,12141.95559,Sulawesi Barat,2024.0
2024,1,79.23255,Sulawesi Barat,2024.0
2024,2,24.38594,Sulawesi Barat,2024.0
2025,0,15999.06496,Sulawesi Barat,2025.0
2025,1,178.47148,Sulawesi Barat,2025.0
2025,2,60.6956,Sulawesi Barat,2025.0
null,0,4875240.87575,Sulawesi Barat,
null,1,223687.42822,Sulawesi Barat,
null,2,21984.69392,Sulawesi Barat,
