nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
BONEHAU PRIMA COAL,KAB. MAMUJU,98.0,"""BONEHAU PRIMA COAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",GUBERNUR SULAWESI BARAT SALINAN - Peraturan BPK,https://peraturan.bpk.go.id/Download/242585/PERGUB%20NOMOR%209%20TAHUN%202022.pdf,... Amdal di Sulawesi Barat Tahun 2014–2018. Sumber: Dinas Lingkungan Hidup ... limbah bahan berbahaya dan beracun (B3) medis yang dapat menimbulkan ...
PILAR BATU SULAWESI,KAB. MAMUJU,97.6,"""PILAR BATU SULAWESI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
NUSANTARA MINING SEMESTA,KAB. MAMUJU,94.5,"""NUSANTARA MINING SEMESTA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
ANUGERAH BATU ANDALAN,KAB. MAMUJU,93.0,"""ANUGERAH BATU ANDALAN"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
POLEMAJU MINERAL MANDIRI,KAB. MAMUJU,79.0,"""POLEMAJU MINERAL MANDIRI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
DWI PERKASA NUSANTARA,KAB. PASANGKAYU,74.0,"""DWI PERKASA NUSANTARA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
ALAM SUMBER REZEKI,KAB. MAMUJU TENGAH,69.85,"""ALAM SUMBER REZEKI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Dinas Lingkungan Hidup Kabupaten Tanah Bumbu,https://ppid.kemendagri.go.id/storage/dokumen/iE4bx5GCs8s9p6u5InLyfDW40RMvSk66aAg1EKSR.pdf,"pengolahan air limbah termasuk limbah B3 dengan baik dapat merusak kondsi ... AMDAL dan UKL-UPL, melakukan pengawasan pelaksanaan AMDAL dan. UKL-UPL ..."
ALAM SUMBER REZEKI,KAB. MAMUJU TENGAH,69.85,"""ALAM SUMBER REZEKI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf","Proyek Strategis Nasional, Tambang, hingga Ilusi Transisi Energi",https://aji.or.id/system/files/2026-05/cetakan-2sisi-gelap-sulawesi220426compressed.pdf,"dan pelaksanaan AMDAL serta RKL/RPL. Kedua, pemenuhan standar Izin ... Limbah tailing ini kata Fadli sangat berbahaya dan membutuhkan treatment khusus ..."
ANUGERAH BATU SILOPO,KAB. POLEWALI MANDAR,55.5,"""ANUGERAH BATU SILOPO"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
AZ ZAHRA,KAB. MAMUJU,55.2,"""AZ ZAHRA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",(ANALISIS MENGENAI DAMPAK LINGKUNGAN),http://repository.mediapenerbitindonesia.com/225/1/T%20209%20-%20Buku%20Ajar%20AMDAL%20%28Analisis%20Mengenai%20Dampak%20Lingkungan.pdf,Sistem Informasi AMDAL (SIA-AMDAL) adalah sebuah platform atau sistem yang ... Contoh limbah yang umum termasuk air limbah dari kegiatan domestik dan ...
