power_unit_key,cluster_id,node_label,plant_name,unit_name,owner,parent,capacity_mw,status,start_year,province,local_area,captive_industry_use,source_dataset,cluster_key
PLTU-0063,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 05,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0064,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 06,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0065,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 09,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2022.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0066,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 01,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2021.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0067,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 04,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0068,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 05,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0069,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 06,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0070,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 07,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0071,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 08,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0072,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 10,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,operating,2021.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0073,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase II power station,Unit 01,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],135.0,operating,2020.0,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
