Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Sulawesi Tenggara,2019,Kehutanan,4043.15119,2483920.48122,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Pertanian Berpindah,467.8853,331584.66505,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Tidak Diketahui,85.15497,60178.41033,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Deforestasi Komoditas (Tambang/Sawit),15738.45892,10900238.51632,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Kehutanan,2588.78256,1714690.3660799998,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Pertanian Berpindah,443.96626,326246.12802,Tidak/Tidak Diketahui
Sulawesi Tenggara,2020,Tidak Diketahui,35.83319,23208.39804,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Deforestasi Komoditas (Tambang/Sawit),9995.45652,6945990.81527,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Kehutanan,2042.6888,1352542.32102,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Pertanian Berpindah,272.97795,199798.42078,Tidak/Tidak Diketahui
Sulawesi Tenggara,2021,Tidak Diketahui,27.57188,18622.79378,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Deforestasi Komoditas (Tambang/Sawit),11016.87286,7705755.79814,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Kehutanan,1983.59179,1313188.22064,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Pertanian Berpindah,269.1152,193402.5466,Tidak/Tidak Diketahui
Sulawesi Tenggara,2022,Tidak Diketahui,33.24622,25112.43123,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Deforestasi Komoditas (Tambang/Sawit),29473.53978,19499544.75281,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Kehutanan,4084.37127,2527434.87274,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Pertanian Berpindah,496.53411000000006,349599.24207,Tidak/Tidak Diketahui
Sulawesi Tenggara,2023,Tidak Diketahui,5.82858,4666.99921,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Deforestasi Komoditas (Tambang/Sawit),5041.171908156043,3542383.294018427,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Kehutanan,497.5050089487266,357851.8365163785,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Pertanian Berpindah,1166.76675919422,860522.1970707992,Tidak/Tidak Diketahui
Sulawesi Utara,2014,Tidak Diketahui,169.78884120944957,106518.0865925467,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Deforestasi Komoditas (Tambang/Sawit),8565.078349485992,6435061.017714117,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Kehutanan,1593.5512968589685,1046655.5529109606,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Pertanian Berpindah,2464.065474751437,1984543.789887212,Tidak/Tidak Diketahui
Sulawesi Utara,2015,Tidak Diketahui,2974.5388470428948,1431230.2838297451,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Deforestasi Komoditas (Tambang/Sawit),4670.301873099557,3351263.3610911258,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Kehutanan,642.7802697905847,483572.52511066536,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Pertanian Berpindah,1340.6941438565943,1023814.0100477628,Tidak/Tidak Diketahui
Sulawesi Utara,2016,Tidak Diketahui,2127.631479064343,1017509.3106250576,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Deforestasi Komoditas (Tambang/Sawit),4067.734491569429,2939193.364389616,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Kehutanan,511.40812068947935,388453.1497120959,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Pertanian Berpindah,1063.3550084011472,796055.4077131007,Tidak/Tidak Diketahui
Sulawesi Utara,2017,Tidak Diketahui,133.41471086239636,79358.22657617702,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Deforestasi Komoditas (Tambang/Sawit),5796.306578955157,4206846.706204224,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Kehutanan,447.9042940203869,337420.69941616216,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Pertanian Berpindah,1097.152981865214,818696.5221458484,Tidak/Tidak Diketahui
Sulawesi Utara,2018,Tidak Diketahui,114.06051796089588,74352.41109717062,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Deforestasi Komoditas (Tambang/Sawit),7253.330091425722,5285478.41426268,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Kehutanan,458.1419048683056,348327.01030591846,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Pertanian Berpindah,942.5215835967508,713009.2738605255,Tidak/Tidak Diketahui
Sulawesi Utara,2019,Tidak Diketahui,267.1918557981795,147529.4717562505,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Deforestasi Komoditas (Tambang/Sawit),2121.53998715915,1569029.7074431684,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Kehutanan,303.0689817103443,216337.62100867103,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Pertanian Berpindah,610.7384027033327,420936.22225208685,Tidak/Tidak Diketahui
Sulawesi Utara,2020,Tidak Diketahui,88.5647761489322,42452.15917061235,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Deforestasi Komoditas (Tambang/Sawit),2094.5861298209493,1607696.1798504607,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Kehutanan,230.918366284234,191809.15849953212,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Pertanian Berpindah,411.3113617776861,310759.6590168365,Tidak/Tidak Diketahui
Sulawesi Utara,2021,Tidak Diketahui,86.9916202280226,58995.03225858315,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Deforestasi Komoditas (Tambang/Sawit),2081.439588898883,1598909.3566184477,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Kehutanan,217.20963951910076,190356.4910306772,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Pertanian Berpindah,349.9176517287253,261402.7379735777,Tidak/Tidak Diketahui
Sulawesi Utara,2022,Tidak Diketahui,82.06303489478893,49940.55205024921,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Deforestasi Komoditas (Tambang/Sawit),4983.8467327412445,3892622.949021936,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Kehutanan,235.56109576265325,197597.96965833,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Pertanian Berpindah,474.9984925302636,351029.6793407257,Tidak/Tidak Diketahui
Sulawesi Utara,2023,Tidak Diketahui,97.906690671719,62338.10363015183,Tidak/Tidak Diketahui
