provinsi,tahun,indikator,nilai,Sumber
Sulawesi Barat,2020,Kasus Kusta Baru,138,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2020,Kasus Kusta Baru,615,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2020,Kasus Kusta Baru,201,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2020,Kasus Kusta Baru,127,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2020,Kasus Kusta Baru,356,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2020,Kasus Malaria Positif,36,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2020,Kasus Malaria Positif,143,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2020,Kasus Malaria Positif,765,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2020,Kasus Malaria Positif,199,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2020,Kasus Malaria Positif,415,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2020,Kasus Malaria Positif,900,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2021,Kasus Diare Dilayani,9982,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2021,Kasus Diare Dilayani,15589,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2021,Kasus Diare Dilayani,67241,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2021,Kasus Diare Dilayani,29273,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2021,Kasus Diare Dilayani,14929,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2021,Kasus Diare Dilayani,10687,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2021,Kasus ISPA/Pneumonia,1424,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2021,Kasus ISPA/Pneumonia,396,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2021,Kasus ISPA/Pneumonia,2443,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2021,Kasus ISPA/Pneumonia,4668,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2021,Kasus ISPA/Pneumonia,1048,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2021,Kasus ISPA/Pneumonia,281,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2021,Kasus Kusta Baru,121,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2021,Kasus Kusta Baru,101,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2021,Kasus Kusta Baru,694,nasional_kesehatan_detail_2014_2024.csv
