Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Gorontalo,2022,Pertanian Berpindah,745.7162099999999,466000.29506,Tidak/Tidak Diketahui
Gorontalo,2022,Tidak Diketahui,24.31589,12157.23653,Tidak/Tidak Diketahui
Gorontalo,2022,Urbanisasi,54.88407000000001,27905.56379,Tidak/Tidak Diketahui
Gorontalo,2023,Deforestasi Komoditas (Tambang/Sawit),2155.86498,1434967.4004099998,Tidak/Tidak Diketahui
Gorontalo,2023,Kehutanan,2152.58282,1459339.05188,Tidak/Tidak Diketahui
Gorontalo,2023,Pertanian Berpindah,1853.56016,1086663.05579,Tidak/Tidak Diketahui
Gorontalo,2023,Tidak Diketahui,10.68226,4866.8587800000005,Tidak/Tidak Diketahui
Gorontalo,2023,Urbanisasi,146.42406,74303.56485,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Kehutanan,2.6663,1321.179,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Pertanian Berpindah,32.9097,17266.33773,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Tidak Diketahui,1.5236,689.46492,Tidak/Tidak Diketahui
Sulawesi Barat,2014,Urbanisasi,20.64474,9889.39939,Tidak/Tidak Diketahui
Sulawesi Barat,2015,Pertanian Berpindah,38.77555,20505.34397,Tidak/Tidak Diketahui
Sulawesi Barat,2015,Urbanisasi,3.04719,1592.49687,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Kehutanan,1.5236,790.74227,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Pertanian Berpindah,40.90859,21671.74044,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Tidak Diketahui,5.33259,2525.41488,Tidak/Tidak Diketahui
Sulawesi Barat,2016,Urbanisasi,18.66407,10142.89231,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Kehutanan,5.71349,3160.9819,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Pertanian Berpindah,53.3259,29655.56926,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Tidak Diketahui,9.97956,4789.57511,Tidak/Tidak Diketahui
Sulawesi Barat,2017,Urbanisasi,38.92791,21331.87642,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Kehutanan,4.57079,2434.79486,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Pertanian Berpindah,46.5459,25873.36275,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Tidak Diketahui,8.91304,4034.24731,Tidak/Tidak Diketahui
Sulawesi Barat,2018,Urbanisasi,78.46526,36890.81581,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Kehutanan,5.94203,2897.23583,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Pertanian Berpindah,23.69194,13429.48621,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Tidak Diketahui,6.32293,2874.90207,Tidak/Tidak Diketahui
Sulawesi Barat,2019,Urbanisasi,33.13824,17876.04856,Tidak/Tidak Diketahui
Sulawesi Barat,2020,Kehutanan,2.89483,1421.65356,Tidak/Tidak Diketahui
Sulawesi Barat,2020,Pertanian Berpindah,32.37644,18748.90306,Tidak/Tidak Diketahui
Sulawesi Barat,2020,Tidak Diketahui,3.50427,1723.32739,Tidak/Tidak Diketahui
Sulawesi Barat,2020,Urbanisasi,16.60721,8759.21874,Tidak/Tidak Diketahui
Sulawesi Barat,2021,Kehutanan,1.9045,1067.4786,Tidak/Tidak Diketahui
Sulawesi Barat,2021,Pertanian Berpindah,51.19287,30036.09484,Tidak/Tidak Diketahui
Sulawesi Barat,2021,Tidak Diketahui,2.89483,1349.14377,Tidak/Tidak Diketahui
Sulawesi Barat,2021,Urbanisasi,15.00743,7633.15121,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Kehutanan,0.22854,131.59091,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Pertanian Berpindah,25.59643,14664.13197,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Tidak Diketahui,0.99034,514.71616,Tidak/Tidak Diketahui
Sulawesi Barat,2022,Urbanisasi,8.60832,4567.5147,Tidak/Tidak Diketahui
Sulawesi Barat,2023,Kehutanan,0.7618,387.51392,Tidak/Tidak Diketahui
Sulawesi Barat,2023,Pertanian Berpindah,46.08882,24119.97909,Tidak/Tidak Diketahui
Sulawesi Barat,2023,Tidak Diketahui,3.12337,1508.29631,Tidak/Tidak Diketahui
