tahun,provinsi,jenis_faskes,jumlah,sumber_kutipan,sumber_file
2023,Sulawesi Selatan,Rumah Sakit,125,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2023",nasional/sulawesi/sulawesi_2023_Rumah_Sakit_page_377.md
2023,Sulawesi Tengah,Puskesmas,217,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2023,nasional/sulawesi/sulawesi_2023_Puskesmas_page_370.md
2023,Sulawesi Tengah,Rumah Sakit,40,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2023",nasional/sulawesi/sulawesi_2023_Rumah_Sakit_page_377.md
2023,Sulawesi Tenggara,Puskesmas,306,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2023,nasional/sulawesi/sulawesi_2023_Puskesmas_page_370.md
2023,Sulawesi Tenggara,Rumah Sakit,43,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2023",nasional/sulawesi/sulawesi_2023_Rumah_Sakit_page_377.md
2023,Sulawesi Utara,Puskesmas,199,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2023,nasional/sulawesi/sulawesi_2023_Puskesmas_page_370.md
2023,Sulawesi Utara,Rumah Sakit,57,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2023",nasional/sulawesi/sulawesi_2023_Rumah_Sakit_page_377.md
2024,Gorontalo,Puskesmas,95,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR MENURUT PROVINSI TAHUN 2024,nasional/sulawesi/sulawesi_2024_Puskesmas_page_356.md
2024,Gorontalo,Rumah Sakit,20,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2024",nasional/sulawesi/sulawesi_2024_Rumah_Sakit_page_363.md
2024,Sulawesi Barat,Puskesmas,98,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR MENURUT PROVINSI TAHUN 2024,nasional/sulawesi/sulawesi_2024_Puskesmas_page_356.md
2024,Sulawesi Barat,Rumah Sakit,16,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2024",nasional/sulawesi/sulawesi_2024_Rumah_Sakit_page_363.md
2024,Sulawesi Selatan,Puskesmas,474,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR MENURUT PROVINSI TAHUN 2024,nasional/sulawesi/sulawesi_2024_Puskesmas_page_356.md
2024,Sulawesi Selatan,Rumah Sakit,126,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2024",nasional/sulawesi/sulawesi_2024_Rumah_Sakit_page_363.md
2024,Sulawesi Tengah,Puskesmas,219,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR MENURUT PROVINSI TAHUN 2024,nasional/sulawesi/sulawesi_2024_Puskesmas_page_356.md
2024,Sulawesi Tengah,Rumah Sakit,40,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2024",nasional/sulawesi/sulawesi_2024_Rumah_Sakit_page_363.md
2024,Sulawesi Tenggara,Puskesmas,308,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR MENURUT PROVINSI TAHUN 2024,nasional/sulawesi/sulawesi_2024_Puskesmas_page_356.md
2024,Sulawesi Tenggara,Rumah Sakit,40,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2024",nasional/sulawesi/sulawesi_2024_Rumah_Sakit_page_363.md
2024,Sulawesi Utara,Puskesmas,199,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR MENURUT PROVINSI TAHUN 2024,nasional/sulawesi/sulawesi_2024_Puskesmas_page_356.md
2024,Sulawesi Utara,Rumah Sakit,58,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2024",nasional/sulawesi/sulawesi_2024_Rumah_Sakit_page_363.md
