tahun,provinsi,jenis_bencana,jumlah_kejadian,korban_terdampak,Sumber
2023,Sulawesi Utara,Banjir,1.0,1050,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Banjir,1.0,768,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,57,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Tanah Longsor,1.0,5,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,3135,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,250,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Banjir,1.0,484,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Utara,Banjir,1.0,1536,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Tanah Longsor,1.0,5,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,5,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Tanah Longsor,1.0,5,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Tanah Longsor,1.0,2,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Utara,Banjir,1.0,924,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Tanah Longsor,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Utara,Banjir,1.0,294,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Banjir,1.0,2150,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tenggara,Banjir,1.0,35,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,5,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Tanah Longsor,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,15,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tenggara,Banjir,1.0,5665,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Barat,Banjir,1.0,452,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Barat,Banjir,1.0,4,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Barat,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,820,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Barat,Banjir,1.0,85,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Tanah Longsor,1.0,0,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Banjir,1.0,500,Data DIBI BNPB (Raw Recovered)
