provinsi,tahun,indikator,nilai
Nusa Tenggara Timur,2016,Kasus ISPA/Pneumonia,4176
Papua,2016,Kasus ISPA/Pneumonia,716
Papua Barat,2016,Kasus ISPA/Pneumonia,0
Riau,2016,Kasus ISPA/Pneumonia,11250
Sulawesi Barat,2016,Kasus ISPA/Pneumonia,2549
Sulawesi Selatan,2016,Kasus ISPA/Pneumonia,5528
Sulawesi Tengah,2016,Kasus ISPA/Pneumonia,10565
Sulawesi Tenggara,2016,Kasus ISPA/Pneumonia,3106
Sulawesi Utara,2016,Kasus ISPA/Pneumonia,559
Sumatera Barat,2016,Kasus ISPA/Pneumonia,13868
Sumatera Selatan,2016,Kasus ISPA/Pneumonia,13505
Sumatera Utara,2016,Kasus ISPA/Pneumonia,7997
Aceh,2016,Kasus Kusta Baru,422
Bali,2016,Kasus Kusta Baru,99
Banten,2016,Kasus Kusta Baru,926
Bengkulu,2016,Kasus Kusta Baru,20
DI Yogyakarta,2016,Kasus Kusta Baru,40
DKI Jakarta,2016,Kasus Kusta Baru,310
Gorontalo,2016,Kasus Kusta Baru,177
Jambi,2016,Kasus Kusta Baru,61
Jawa Barat,2016,Kasus Kusta Baru,2046
Jawa Tengah,2016,Kasus Kusta Baru,1609
Jawa Timur,2016,Kasus Kusta Baru,3999
Kalimantan Barat,2016,Kasus Kusta Baru,91
Kalimantan Selatan,2016,Kasus Kusta Baru,124
Kalimantan Tengah,2016,Kasus Kusta Baru,51
Kalimantan Timur,2016,Kasus Kusta Baru,158
Kalimantan Utara,2016,Kasus Kusta Baru,29
Kepulauan Bangka Belitung,2016,Kasus Kusta Baru,31
Kepulauan Riau,2016,Kasus Kusta Baru,34
Lampung,2016,Kasus Kusta Baru,77
Maluku,2016,Kasus Kusta Baru,442
Maluku Utara,2016,Kasus Kusta Baru,421
Nusa Tenggara Barat,2016,Kasus Kusta Baru,243
Nusa Tenggara Timur,2016,Kasus Kusta Baru,261
Papua,2016,Kasus Kusta Baru,1267
Papua Barat,2016,Kasus Kusta Baru,905
Riau,2016,Kasus Kusta Baru,144
Sulawesi Barat,2016,Kasus Kusta Baru,181
Sulawesi Selatan,2016,Kasus Kusta Baru,1124
Sulawesi Tengah,2016,Kasus Kusta Baru,317
Sulawesi Tenggara,2016,Kasus Kusta Baru,329
