provinsi,tahun,indikator,nilai
Jambi,2021,Kasus Malaria Positif,39
Jambi,2022,Kasus Diare Dilayani,31636
Jambi,2022,Kasus ISPA/Pneumonia,1207
Jambi,2022,Kasus Kusta Baru,11
Jambi,2022,Kasus Malaria Positif,264
Jambi,2023,Kasus Diare Dilayani,21513
Jambi,2023,Kasus ISPA/Pneumonia,1139
Jambi,2023,Kasus Kusta Baru,68
Jambi,2023,Kasus Malaria Positif,199
Jambi,2024,Kasus Diare Dilayani,29469
Jambi,2024,Kasus ISPA/Pneumonia,1620
Jambi,2024,Kasus Kusta Baru,54
Jambi,2024,Kasus Malaria Positif,49
Jawa Barat,2014,Kasus Diare Dilayani,1068685
Jawa Barat,2014,Kasus ISPA/Pneumonia,197654
Jawa Barat,2014,Kasus Kusta Baru,1917
Jawa Barat,2014,Kasus Malaria Positif,282
Jawa Barat,2015,Kasus Diare Dilayani,50868
Jawa Barat,2015,Kasus ISPA/Pneumonia,180357
Jawa Barat,2015,Kasus Kusta Baru,2026
Jawa Barat,2015,Kasus Malaria Positif,179
Jawa Barat,2016,Kasus Diare Dilayani,930176
Jawa Barat,2016,Kasus ISPA/Pneumonia,174612
Jawa Barat,2016,Kasus Kusta Baru,2046
Jawa Barat,2016,Kasus Malaria Positif,323
Jawa Barat,2017,Kasus ISPA/Pneumonia,145135
Jawa Barat,2017,Kasus Kusta Baru,1813
Jawa Barat,2017,Kasus Malaria Positif,328
Jawa Barat,2018,Kasus Diare Dilayani,803533
Jawa Barat,2018,Kasus ISPA/Pneumonia,131382
Jawa Barat,2018,Kasus Kusta Baru,2124
Jawa Barat,2018,Kasus Malaria Positif,181
Jawa Barat,2019,Kasus Diare Dilayani,881093
Jawa Barat,2019,Kasus ISPA/Pneumonia,104866
Jawa Barat,2019,Kasus Kusta Baru,2100
Jawa Barat,2019,Kasus Malaria Positif,436
Jawa Barat,2020,Kasus Diare Dilayani,604464
Jawa Barat,2020,Kasus ISPA/Pneumonia,70508
Jawa Barat,2020,Kasus Kusta Baru,1404
Jawa Barat,2020,Kasus Malaria Positif,319
Jawa Barat,2021,Kasus Diare Dilayani,430520
Jawa Barat,2021,Kasus ISPA/Pneumonia,67185
Jawa Barat,2021,Kasus Kusta Baru,1328
Jawa Barat,2021,Kasus Malaria Positif,247
Jawa Barat,2022,Kasus Diare Dilayani,404051
Jawa Barat,2022,Kasus ISPA/Pneumonia,101967
Jawa Barat,2022,Kasus Kusta Baru,584
Jawa Barat,2022,Kasus Malaria Positif,498
Jawa Barat,2023,Kasus Diare Dilayani,644506
Jawa Barat,2023,Kasus ISPA/Pneumonia,102576
Jawa Barat,2023,Kasus Kusta Baru,1790
Jawa Barat,2023,Kasus Malaria Positif,512
Jawa Barat,2024,Kasus Diare Dilayani,663921
Jawa Barat,2024,Kasus ISPA/Pneumonia,133926
Jawa Barat,2024,Kasus Kusta Baru,1805
Jawa Barat,2024,Kasus Malaria Positif,512
Jawa Tengah,2014,Kasus Diare Dilayani,393829
Jawa Tengah,2014,Kasus ISPA/Pneumonia,99465
Jawa Tengah,2014,Kasus Kusta Baru,1860
Jawa Tengah,2014,Kasus Malaria Positif,1629
Jawa Tengah,2015,Kasus Diare Dilayani,503509
Jawa Tengah,2015,Kasus ISPA/Pneumonia,36279
Jawa Tengah,2015,Kasus Kusta Baru,1807
Jawa Tengah,2015,Kasus Malaria Positif,2190
Jawa Tengah,2016,Kasus Diare Dilayani,95635
