provinsi,kabupaten,tahun,jumlah_penduduk_rb,laju_pertumbuhan_sumber_pct,kepadatan_per_km2,laju_pertumbuhan_yoy_pct,is_smelter,iup_kumulatif
Sulawesi Selatan,Pangkajene Dan Kepulauan,2021,348.2,0.53,308.0,0.69,False,22.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2023,355.6,1.03,400.0,2.13,False,51.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2024,359.2,1.02,404.0,1.01,False,105.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2025,362.7,1.01,408.0,0.97,False,
Sulawesi Selatan,Pangkajene Dan Kepulauan,2026,366.2,1.0,412.0,0.96,False,
Sulawesi Selatan,Pinrang,2010,352.2,0.9,180.0,,False,
Sulawesi Selatan,Pinrang,2016,369.6,94.24,4.0,4.94,False,1.0
Sulawesi Selatan,Pinrang,2017,372.2,0.74,190.0,0.7,False,6.0
Sulawesi Selatan,Pinrang,2018,374.583,0.63,191.0,0.64,False,11.0
Sulawesi Selatan,Pinrang,2019,377.1,0.76,192.0,0.67,False,14.0
Sulawesi Selatan,Pinrang,2020,404.0,1.37,206.0,7.13,False,14.0
Sulawesi Selatan,Pinrang,2021,407.4,0.63,208.0,0.84,False,22.0
Sulawesi Selatan,Pinrang,2023,419.3,1.36,221.0,2.92,False,51.0
Sulawesi Selatan,Pinrang,2024,424.7,1.34,224.0,1.29,False,105.0
Sulawesi Selatan,Pinrang,2025,429.9,1.32,227.0,1.22,False,
Sulawesi Selatan,Pinrang,2026,435.1,1.28,229.0,1.21,False,
Sulawesi Selatan,Sidenreng Rappang,2010,272.8,1.32,145.0,,False,
Sulawesi Selatan,Sidenreng Rappang,2016,293.0,95.7,3.0,7.4,False,1.0
Sulawesi Selatan,Sidenreng Rappang,2017,296.1,1.09,157.0,1.06,False,6.0
Sulawesi Selatan,Sidenreng Rappang,2018,299.123,1.01,159.0,1.02,False,11.0
Sulawesi Selatan,Sidenreng Rappang,2019,302.0,1.13,160.0,0.96,False,14.0
Sulawesi Selatan,Sidenreng Rappang,2020,320.0,1.59,170.0,5.96,False,14.0
Sulawesi Selatan,Sidenreng Rappang,2021,323.2,0.75,172.0,1.0,False,22.0
Sulawesi Selatan,Sidenreng Rappang,2023,327.9,0.89,179.0,1.45,False,51.0
Sulawesi Selatan,Sidenreng Rappang,2024,330.7,0.89,181.0,0.85,False,105.0
Sulawesi Selatan,Sidenreng Rappang,2025,333.5,0.88,182.0,0.85,False,
Sulawesi Selatan,Sidenreng Rappang,2026,336.3,0.87,184.0,0.84,False,
Sulawesi Selatan,Sinjai,2010,229.6,0.82,280.0,,False,
Sulawesi Selatan,Sinjai,2016,239.7,93.72,3.0,4.4,False,1.0
Sulawesi Selatan,Sinjai,2017,241.2,0.65,294.0,0.63,False,6.0
Sulawesi Selatan,Sinjai,2018,242.672,0.61,296.0,0.61,False,11.0
Sulawesi Selatan,Sinjai,2019,244.1,0.68,298.0,0.59,False,14.0
Sulawesi Selatan,Sinjai,2020,259.5,1.22,316.0,6.31,False,14.0
Sulawesi Selatan,Sinjai,2021,261.4,0.55,327.0,0.73,False,22.0
Sulawesi Selatan,Sinjai,2023,267.5,1.12,309.0,2.33,False,51.0
Sulawesi Selatan,Sinjai,2024,270.4,1.11,313.0,1.08,False,105.0
Sulawesi Selatan,Sinjai,2025,273.3,1.1,316.0,1.07,False,
Sulawesi Selatan,Sinjai,2026,276.2,1.09,319.0,1.06,False,
Sulawesi Selatan,Soppeng,2010,224.6,0.19,165.0,,False,
