province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Selatan,2013,Unknown,272.4294951700634,173871.23279744666,
Sulawesi Selatan,2014,Commodity driven deforestation,18006.95371243557,11929619.62387987,
Sulawesi Selatan,2014,Forestry,255.0572237907356,169578.3987390696,
Sulawesi Selatan,2014,Shifting agriculture,2188.7661300834825,1418681.321764141,
Sulawesi Selatan,2014,Unknown,1024.9218321900648,593300.2399754063,
Sulawesi Selatan,2015,Commodity driven deforestation,19970.397407740962,13700844.863633508,
Sulawesi Selatan,2015,Forestry,559.6850742730355,385700.26804853487,
Sulawesi Selatan,2015,Shifting agriculture,3162.8709540622967,2041171.4419908496,
Sulawesi Selatan,2015,Unknown,4387.7012279474,2517302.4756833017,
Sulawesi Selatan,2016,Commodity driven deforestation,19396.756068017567,13533448.600046678,
Sulawesi Selatan,2016,Forestry,963.5393538984482,680765.4778499075,
Sulawesi Selatan,2016,Shifting agriculture,4104.250102589003,2818067.3284135927,
Sulawesi Selatan,2016,Unknown,6421.107168910432,3104035.415431223,
Sulawesi Selatan,2017,Commodity driven deforestation,18355.52788330271,11816800.737452082,
Sulawesi Selatan,2017,Forestry,645.3835168480331,465599.8927138353,
Sulawesi Selatan,2017,Shifting agriculture,3569.521611765704,2369980.752925669,
Sulawesi Selatan,2017,Unknown,1479.5587567710281,991814.6144559728,
Sulawesi Selatan,2018,Commodity driven deforestation,15653.19270246514,9908634.702295983,
Sulawesi Selatan,2018,Forestry,463.1374425745853,334252.289069751,
Sulawesi Selatan,2018,Shifting agriculture,2601.450997873674,1659395.3976419559,
Sulawesi Selatan,2018,Unknown,724.674682895328,475245.54003254184,
Sulawesi Selatan,2019,Commodity driven deforestation,19512.57377919149,11972660.58433552,
Sulawesi Selatan,2019,Forestry,401.2075953757176,291957.2127961402,
Sulawesi Selatan,2019,Shifting agriculture,2256.47732383962,1422581.5855281942,
Sulawesi Selatan,2019,Unknown,754.7240454707076,430174.624490577,
Sulawesi Selatan,2020,Commodity driven deforestation,10604.226873670876,6957368.874551968,
Sulawesi Selatan,2020,Forestry,342.84389823055415,240664.34555086077,
Sulawesi Selatan,2020,Shifting agriculture,1778.2269528085767,1145163.8953490625,
Sulawesi Selatan,2020,Unknown,1542.3541559678251,905380.6147722972,
Sulawesi Selatan,2021,Commodity driven deforestation,7839.867751415439,5274198.118796961,
Sulawesi Selatan,2021,Forestry,153.73174787793096,110374.06860108887,
Sulawesi Selatan,2021,Shifting agriculture,1512.1417879126293,1023632.9039320644,
Sulawesi Selatan,2021,Unknown,737.6973856943995,485969.48803320737,
Sulawesi Selatan,2022,Commodity driven deforestation,13416.233846195491,8955843.48289711,
Sulawesi Selatan,2022,Forestry,284.81596298971,211417.93738332536,
Sulawesi Selatan,2022,Shifting agriculture,1649.951996462337,1106955.117521014,
Sulawesi Selatan,2022,Unknown,591.9178878915334,391036.09345988237,
Sulawesi Selatan,2023,Commodity driven deforestation,23291.483124780763,14505281.280326521,
Sulawesi Selatan,2023,Forestry,599.1162450626501,431412.75666424254,
