wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Tengah,7200,Harga Berlaku,2021,82016.81,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2020,45052.32,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2021,49690.23,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2020,55675.03,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2021,59502.64,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2020,36246.26,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2021,37501.45,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2020,49718.15,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2021,52436.02,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2020,35708.6,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2021,36570.47,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2020,35693.26,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2021,37086.76,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2020,24313.38,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2021,24594.17,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2020,32836.75,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2021,35195.14,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2020,22666.22,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2021,22898.21,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2022,59020.57,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2023,64130.96,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2022,36368.64,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2023,38064.2,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2022,106068.47,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2023,112461.01,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2022,56577.06,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2023,62584.06,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2022,65353.29,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2023,69710.31,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2022,38975.18,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2023,40290.12,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2022,58714.73,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2023,64088.4,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2022,37956.13,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2023,39342.46,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2022,39690.94,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2023,42340.5,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2022,25268.51,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2023,26083.3,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2022,37033.82,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2023,39546.78,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2022,23060.66,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2023,23903.2,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2024,69352.24,288,PDRB Per Kapita
