tahun,provinsi,jenis,jumlah
2021,Sulawesi Selatan,Puskesmas,190.0
2021,Sulawesi Tenggara,Puskesmas,69.0
2021,Gorontalo,Puskesmas,27.0
2021,Sulawesi Barat,Puskesmas,37.0
2021,Sulawesi Utara,Puskesmas,195.0
2021,Sulawesi Tengah,Puskesmas,207.0
2021,Sulawesi Selatan,Puskesmas,461.0
2021,Sulawesi Tenggara,Puskesmas,292.0
2021,Gorontalo,Puskesmas,93.0
2021,Sulawesi Barat,Puskesmas,96.0
2021,Sulawesi Utara,Puskesmas,9.928
2021,Sulawesi Tengah,Puskesmas,12.144
2021,Sulawesi Selatan,Puskesmas,31.575
2021,Sulawesi Tenggara,Puskesmas,6.006
2021,Gorontalo,Puskesmas,7.391
2021,Sulawesi Barat,Puskesmas,3.506
2021,Sulawesi Utara,Puskesmas,0.0
2021,Sulawesi Tengah,Puskesmas,0.0
2021,Sulawesi Selatan,Puskesmas,0.0
2021,Sulawesi Tenggara,Puskesmas,0.0
2021,Gorontalo,Puskesmas,0.0
2021,Sulawesi Barat,Puskesmas,0.0
2021,Sulawesi Utara,Puskesmas,2.205
2021,Sulawesi Tengah,Puskesmas,1.485
2021,Sulawesi Selatan,Puskesmas,4.565
2021,Sulawesi Tenggara,Puskesmas,1.24
2021,Gorontalo,Puskesmas,865.0
2021,Sulawesi Barat,Puskesmas,780.0
2021,Sulawesi Utara,Puskesmas,238.27
2021,Sulawesi Tengah,Puskesmas,296.292
2021,Sulawesi Selatan,Puskesmas,884.87
2021,Sulawesi Tenggara,Puskesmas,271.952
2021,Gorontalo,Puskesmas,118.781
2021,Sulawesi Barat,Puskesmas,141.096
2021,Sulawesi Utara,Puskesmas,18.046
2021,Sulawesi Tengah,Puskesmas,69.521
2021,Sulawesi Selatan,Puskesmas,81.236
2021,Sulawesi Tenggara,Puskesmas,28.257
2021,Gorontalo,Puskesmas,16.326
2021,Sulawesi Barat,Puskesmas,17.022
2021,Sulawesi Utara,Puskesmas,0.0
2021,Sulawesi Tengah,Puskesmas,0.0
2021,Sulawesi Selatan,Puskesmas,0.0
2021,Sulawesi Tenggara,Puskesmas,0.0
2021,Gorontalo,Puskesmas,0.0
2021,Sulawesi Barat,Puskesmas,0.0
2021,Sulawesi Utara,Puskesmas,0.0
2021,Sulawesi Tengah,Puskesmas,0.0
2021,Sulawesi Selatan,Puskesmas,0.0
2021,Sulawesi Tenggara,Puskesmas,0.0
2021,Gorontalo,Puskesmas,0.0
2021,Sulawesi Barat,Puskesmas,0.0
2021,Sulawesi Utara,Puskesmas,18.0
2021,Sulawesi Tengah,Puskesmas,180.0
2021,Sulawesi Selatan,Puskesmas,63.0
2021,Sulawesi Tenggara,Puskesmas,50.0
2021,Gorontalo,Puskesmas,4.0
2021,Sulawesi Barat,Puskesmas,55.0
2021,Sulawesi Utara,Puskesmas,15.0
2021,Sulawesi Tengah,Puskesmas,13.0
2021,Sulawesi Selatan,Puskesmas,24.0
2021,Sulawesi Tenggara,Puskesmas,17.0
2021,Gorontalo,Puskesmas,6.0
2021,Sulawesi Barat,Puskesmas,6.0
2021,Sulawesi Utara,Puskesmas,15.0
2021,Sulawesi Tengah,Puskesmas,13.0
2021,Sulawesi Selatan,Puskesmas,24.0
2021,Sulawesi Tenggara,Puskesmas,17.0
2021,Gorontalo,Puskesmas,6.0
2021,Sulawesi Barat,Puskesmas,6.0
2021,Sulawesi Utara,Puskesmas,25.0
2021,Sulawesi Tengah,Puskesmas,1.174
2021,Sulawesi Selatan,Puskesmas,3.493
2021,Sulawesi Tenggara,Puskesmas,1.938
2021,Gorontalo,Puskesmas,96.0
2021,Sulawesi Barat,Puskesmas,1.119
2021,Sulawesi Utara,Puskesmas,240.0
2021,Sulawesi Tengah,Puskesmas,248.0
2021,Sulawesi Selatan,Puskesmas,568.0
2021,Sulawesi Tenggara,Puskesmas,324.0
2021,Gorontalo,Puskesmas,110.0
2021,Sulawesi Barat,Puskesmas,108.0
2022,Sulawesi Utara,Puskesmas,189.0
2022,Sulawesi Tengah,Puskesmas,193.0
2022,Sulawesi Selatan,Puskesmas,451.0
2022,Sulawesi Tenggara,Puskesmas,274.0
2022,Gorontalo,Puskesmas,93.0
2022,Sulawesi Barat,Puskesmas,94.0
2022,Sulawesi Utara,Puskesmas,92.0
2022,Sulawesi Tengah,Puskesmas,84.0
2022,Sulawesi Selatan,Puskesmas,269.0
2022,Sulawesi Tenggara,Puskesmas,82.0
2022,Gorontalo,Puskesmas,28.0
2022,Sulawesi Barat,Puskesmas,45.0
2022,Sulawesi Utara,Puskesmas,199.0
2022,Sulawesi Tengah,Puskesmas,218.0
2022,Sulawesi Selatan,Puskesmas,472.0
2022,Sulawesi Tenggara,Puskesmas,302.0
2022,Gorontalo,Puskesmas,93.0
2022,Sulawesi Barat,Puskesmas,98.0
2022,Sulawesi Utara,Puskesmas,199.0
2022,Sulawesi Tengah,Puskesmas,218.0
2022,Sulawesi Selatan,Puskesmas,472.0
2022,Sulawesi Tenggara,Puskesmas,302.0
2022,Gorontalo,Puskesmas,93.0
2022,Sulawesi Barat,Puskesmas,98.0
2022,Sulawesi Utara,Puskesmas,138.0
2022,Sulawesi Tengah,Puskesmas,118.0
2022,Sulawesi Selatan,Puskesmas,101.0
2022,Sulawesi Tenggara,Puskesmas,166.0
2022,Gorontalo,Puskesmas,44.0
2022,Sulawesi Barat,Puskesmas,32.0
2022,Sulawesi Utara,Puskesmas,3.0
2022,Sulawesi Tengah,Puskesmas,5.0
2022,Sulawesi Selatan,Puskesmas,6.0
2022,Sulawesi Tenggara,Puskesmas,26.0
2022,Gorontalo,Puskesmas,4.0
2022,Sulawesi Barat,Puskesmas,3.0
2022,Sulawesi Utara,Puskesmas,17.0
2022,Sulawesi Tengah,Puskesmas,22.0
2022,Sulawesi Selatan,Puskesmas,33.0
2022,Sulawesi Tenggara,Puskesmas,17.0
2022,Gorontalo,Puskesmas,9.0
2022,Sulawesi Barat,Puskesmas,7.0
2022,Sulawesi Utara,Puskesmas,15.0
2022,Sulawesi Tengah,Puskesmas,13.0
2022,Sulawesi Selatan,Puskesmas,24.0
2022,Sulawesi Tenggara,Puskesmas,17.0
2022,Gorontalo,Puskesmas,6.0
2022,Sulawesi Barat,Puskesmas,6.0
2022,Sulawesi Utara,Puskesmas,81.0
2022,Sulawesi Tengah,Puskesmas,217.0
2022,Sulawesi Selatan,Puskesmas,411.0
2022,Sulawesi Tenggara,Puskesmas,191.0
2022,Gorontalo,Puskesmas,93.0
2022,Sulawesi Barat,Puskesmas,98.0
2022,Sulawesi Utara,Puskesmas,2.0
2022,Sulawesi Tengah,Puskesmas,1.0
2022,Sulawesi Selatan,Puskesmas,7.0
2022,Sulawesi Tenggara,Puskesmas,3.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,0.0
2022,Sulawesi Utara,Puskesmas,168.0
2022,Sulawesi Tengah,Puskesmas,217.0
2022,Sulawesi Selatan,Puskesmas,418.0
2022,Sulawesi Tenggara,Puskesmas,297.0
2022,Gorontalo,Puskesmas,93.0
2022,Sulawesi Barat,Puskesmas,48.0
2022,Sulawesi Utara,Puskesmas,15.0
2022,Sulawesi Tengah,Puskesmas,13.0
2022,Sulawesi Selatan,Puskesmas,24.0
2022,Sulawesi Tenggara,Puskesmas,17.0
2022,Gorontalo,Puskesmas,6.0
2022,Sulawesi Barat,Puskesmas,6.0
2022,Sulawesi Utara,Puskesmas,295.0
2022,Sulawesi Tengah,Puskesmas,132.0
2022,Sulawesi Selatan,Puskesmas,731.0
2022,Sulawesi Tenggara,Puskesmas,133.0
2022,Gorontalo,Puskesmas,81.0
2022,Sulawesi Barat,Puskesmas,47.0
2022,Sulawesi Utara,Puskesmas,1.0
2022,Sulawesi Tengah,Puskesmas,0.0
2022,Sulawesi Selatan,Puskesmas,0.0
2022,Sulawesi Tenggara,Puskesmas,0.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,0.0
2022,Sulawesi Utara,Puskesmas,0.0
2022,Sulawesi Tengah,Puskesmas,0.0
2022,Sulawesi Selatan,Puskesmas,0.0
2022,Sulawesi Tenggara,Puskesmas,0.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,0.0
2022,Sulawesi Tengah,Puskesmas,3.0
2022,Sulawesi Utara,Puskesmas,1.0
2022,Sulawesi Tengah,Puskesmas,2.0
2022,Sulawesi Selatan,Puskesmas,1.0
2022,Sulawesi Tenggara,Puskesmas,6.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,0.0
2022,Sulawesi Utara,Puskesmas,1.0
2022,Sulawesi Tengah,Puskesmas,8.0
2022,Sulawesi Selatan,Puskesmas,3.0
2022,Sulawesi Tenggara,Puskesmas,8.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,0.0
2022,Sulawesi Utara,Puskesmas,8.0
2022,Sulawesi Tengah,Puskesmas,5.0
2022,Sulawesi Selatan,Puskesmas,6.0
2022,Sulawesi Tenggara,Puskesmas,14.0
2022,Gorontalo,Puskesmas,6.0
2022,Sulawesi Barat,Puskesmas,3.0
2022,Sulawesi Utara,Puskesmas,2.0
2022,Sulawesi Tengah,Puskesmas,9.0
2022,Sulawesi Selatan,Puskesmas,3.0
2022,Sulawesi Tenggara,Puskesmas,18.0
2022,Gorontalo,Puskesmas,3.0
2022,Sulawesi Barat,Puskesmas,5.0
2022,Sulawesi Utara,Puskesmas,1.0
2022,Sulawesi Tengah,Puskesmas,2.0
2022,Sulawesi Selatan,Puskesmas,8.0
2022,Sulawesi Tenggara,Puskesmas,1.0
2022,Gorontalo,Puskesmas,0.0
2022,Sulawesi Barat,Puskesmas,1.0
2022,Sulawesi Utara,Puskesmas,470.0
2022,Sulawesi Tengah,Puskesmas,1.218
2022,Sulawesi Selatan,Puskesmas,2.102
2022,Sulawesi Tenggara,Puskesmas,1.442
2022,Gorontalo,Puskesmas,334.0
2022,Sulawesi Barat,Puskesmas,610.0
2022,Sulawesi Utara,Puskesmas,111.0
2022,Sulawesi Tengah,Puskesmas,325.0
2022,Sulawesi Selatan,Puskesmas,402.0
2022,Sulawesi Tenggara,Puskesmas,400.0
2022,Gorontalo,Puskesmas,77.0
2022,Sulawesi Barat,Puskesmas,86.0
2022,Sulawesi Utara,Puskesmas,56.0
2022,Sulawesi Tengah,Puskesmas,140.0
2022,Sulawesi Selatan,Puskesmas,178.0
2022,Sulawesi Tenggara,Puskesmas,43.0
2022,Gorontalo,Puskesmas,22.0
2022,Sulawesi Barat,Puskesmas,18.0
2022,Sulawesi Utara,Puskesmas,150.0
2022,Sulawesi Tengah,Puskesmas,155.0
