nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,tahap_kegiatan,Provinsi,lokasi_perizinan,Tahun,luas_ha
AMARSHA,18112201007330010,Perusahaan Komanditer (CV),Pasir,OPERASI PRODUKSI,Sulawesi Tengah,KAB. SIGI,2023,15.0
ANATO GROUP,02200036304960005,Perusahaan Komanditer (CV),Batu Gunung Quarry Besar,OPERASI PRODUKSI,Sulawesi Selatan,KAB. PINRANG,2024,9.48
ANDRY BINTANG CEMERLANG,24012300154390004,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,OPERASI PRODUKSI,Sulawesi Selatan,KAB. BONE,2024,48.22
ANEKA BARA LESTARI,02202012724170010,Perusahaan Perseroan Terbatas (PT),Andesit,OPERASI PRODUKSI,Sulawesi Barat,KAB. MAMUJU,2022,183.2
ANEKA BATUAN INDONESIA,04032200198520011,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tenggara,KAB. KONAWE UTARA,2023,1226.09
ANEKA TAMBANG,173/1/IUP/PMDN/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2020,584.3
ANEKA TAMBANG,174/1/IUP/PMDN/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2020,2712.0
ANEKA TAMBANG,16/I/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2023,195.0
ANEKA TAMBANG,172/1/IUP/PMDN/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2020,1954.0
ANEKA TAMBANG,175/1/IUP/PMDN/2020,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA,2020,878.2
ANEKA USAHA CEMERLANG,1131/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,2814.0
ANG AND FANG BROTHER,352/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI,2022,775.0
ANUGERAH BANGUN MAKMUR,540/355/IUP-OP/PGH/DPMPTSP/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2017,4335.0
ANUGERAH BATU ANDALAN,30012400944720001,Perusahaan Perseroan Terbatas (PT),Andesit,EKSPLORASI,Sulawesi Barat,KAB. MAMUJU,2024,93.0
ANUGERAH BATU SILOPO,03102300916810006,Perusahaan Perseroan Terbatas (PT),Andesit,EKSPLORASI,Sulawesi Barat,KAB. POLEWALI MANDAR,2023,55.5
ANUGERAH BUMI GEMILANG,540/356/IUP-OP/PGH/DPMPTSP/2017,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2017,4100.0
ANUGERAH JAYA BUANA,34/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Selatan,KAB. LUWU TIMUR,2023,2800.0
ANUGERAH PERDANA MEMBANGUN,81200181820190001,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. DONGGALA,2024,15.0
ANUGERAH SUMBER BUMI,7/1/IUP/PMDN/2023,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2023,199.0
ANUGERAH TEHNIK UTAMA,15042300209710003,Perusahaan Komanditer (CV),Kerikil Berpasir Alami (Sirtu),EKSPLORASI,Sulawesi Selatan,KAB. LUWU TIMUR,2024,5.9
ANUGERAH TOMPIRA NIKEL,201/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tengah,KAB. BANGGAI,2022,1240.0
ANUGRAH AFIT ABADI,365/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Batu Gamping untuk Industri,EKSPLORASI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,83.7
ANUGRAH ALAM BUANA INDONESIA,1112/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Emas,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. BOMBANA,2021,2000.0
ANUGRAH BATU AMPANA,29112200721610003,Perusahaan Perseroan Terbatas (PT),Kerikil Berpasir Alami (Sirtu),OPERASI PRODUKSI,Sulawesi Tengah,KAB. TOJO UNA-UNA,2024,387.09
ANUGRAH BATU SULAWESI RESOURCES,81201101505230004,Perusahaan Perseroan Terbatas (PT),Batuan,OPERASI PRODUKSI,Sulawesi Tengah,KAB. TOLI TOLI,2024,47.82
ANUGRAH BUKIT BESAR,540/126 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2014,2473.0
ANUGRAH BUKIT BESAR,540/119 TAHUN 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2014,501.0
ANUGRAH BUKIT BESAR,540/128 Tahun 2014,Perusahaan Perseroan Terbatas (PT),Nikel,OPERASI PRODUKSI,Sulawesi Tenggara,KAB. KOLAKA UTARA,2014,1008.0
