provinsi,tahun,indikator,nilai,satuan,Sumber
Kep. Bangka Belitung,2020,Investasi PMDN - Nilai (Juta Rp),1863.8,Juta Rp,data/raw/bps_pmdn/
Kep. Bangka Belitung,2021,Investasi PMDN - Nilai (Juta Rp),3677.4,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2020,Investasi PMDN - Nilai (Juta Rp),14249.0,Juta Rp,data/raw/bps_pmdn/
Kep. Riau,2021,Investasi PMDN - Nilai (Juta Rp),9768.7,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2020,Investasi PMDN - Nilai (Juta Rp),42954.7,Juta Rp,data/raw/bps_pmdn/
Dki Jakarta,2021,Investasi PMDN - Nilai (Juta Rp),54708.2,Juta Rp,data/raw/bps_pmdn/
Jawa Barat,2020,Investasi PMDN - Nilai (Juta Rp),51400.5,Juta Rp,data/raw/bps_pmdn/
Jawa Barat,2021,Investasi PMDN - Nilai (Juta Rp),59948.5,Juta Rp,data/raw/bps_pmdn/
Jawa Tengah,2020,Investasi PMDN - Nilai (Juta Rp),30606.1,Juta Rp,data/raw/bps_pmdn/
Jawa Tengah,2021,Investasi PMDN - Nilai (Juta Rp),31311.2,Juta Rp,data/raw/bps_pmdn/
Di Yogyakarta,2020,Investasi PMDN - Nilai (Juta Rp),2683.4,Juta Rp,data/raw/bps_pmdn/
Di Yogyakarta,2021,Investasi PMDN - Nilai (Juta Rp),2761.3,Juta Rp,data/raw/bps_pmdn/
Jawa Timur,2020,Investasi PMDN - Nilai (Juta Rp),55660.6,Juta Rp,data/raw/bps_pmdn/
Jawa Timur,2021,Investasi PMDN - Nilai (Juta Rp),52552.2,Juta Rp,data/raw/bps_pmdn/
Banten,2020,Investasi PMDN - Nilai (Juta Rp),31145.7,Juta Rp,data/raw/bps_pmdn/
Banten,2021,Investasi PMDN - Nilai (Juta Rp),25989.5,Juta Rp,data/raw/bps_pmdn/
Bali,2020,Investasi PMDN - Nilai (Juta Rp),5432.7,Juta Rp,data/raw/bps_pmdn/
Bali,2021,Investasi PMDN - Nilai (Juta Rp),6355.2,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Barat,2020,Investasi PMDN - Nilai (Juta Rp),6582.4,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Barat,2021,Investasi PMDN - Nilai (Juta Rp),9090.5,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Timur,2020,Investasi PMDN - Nilai (Juta Rp),3028.5,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Timur,2021,Investasi PMDN - Nilai (Juta Rp),3742.6,Juta Rp,data/raw/bps_pmdn/
Kalimantan Barat,2020,Investasi PMDN - Nilai (Juta Rp),9256.5,Juta Rp,data/raw/bps_pmdn/
Kalimantan Barat,2021,Investasi PMDN - Nilai (Juta Rp),10773.4,Juta Rp,data/raw/bps_pmdn/
Kalimantan Tengah,2020,Investasi PMDN - Nilai (Juta Rp),3710.0,Juta Rp,data/raw/bps_pmdn/
Kalimantan Tengah,2021,Investasi PMDN - Nilai (Juta Rp),6359.8,Juta Rp,data/raw/bps_pmdn/
Kalimantan Selatan,2020,Investasi PMDN - Nilai (Juta Rp),4286.3,Juta Rp,data/raw/bps_pmdn/
Kalimantan Selatan,2021,Investasi PMDN - Nilai (Juta Rp),11003.9,Juta Rp,data/raw/bps_pmdn/
Kalimantan Timur,2020,Investasi PMDN - Nilai (Juta Rp),25934.0,Juta Rp,data/raw/bps_pmdn/
Kalimantan Timur,2021,Investasi PMDN - Nilai (Juta Rp),30297.4,Juta Rp,data/raw/bps_pmdn/
Kalimantan Utara,2020,Investasi PMDN - Nilai (Juta Rp),2235.2,Juta Rp,data/raw/bps_pmdn/
Kalimantan Utara,2021,Investasi PMDN - Nilai (Juta Rp),3792.5,Juta Rp,data/raw/bps_pmdn/
Sulawesi Utara,2020,Investasi PMDN - Nilai (Juta Rp),3005.6,Juta Rp,data/raw/bps_pmdn/
Sulawesi Utara,2021,Investasi PMDN - Nilai (Juta Rp),3480.0,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tengah,2020,Investasi PMDN - Nilai (Juta Rp),5261.3,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tengah,2021,Investasi PMDN - Nilai (Juta Rp),3012.3,Juta Rp,data/raw/bps_pmdn/
Sulawesi Selatan,2020,Investasi PMDN - Nilai (Juta Rp),9142.0,Juta Rp,data/raw/bps_pmdn/
