provinsi,tahun,pct_pdrb_pertanian_A,pct_pdrb_pertambangan_B,pct_pdrb_industri_C,pct_pdrb_konstruksi_F,nilai_pertanian_miliar,nilai_pertambangan_miliar,nilai_industri_miliar,nilai_konstruksi_miliar,pct_industri_tambang_BC,agriculture_to_industry_shift_index,Nilai Tambah Pertanian per TK Pertanian,Proporsi Kerja Informal,Proporsi Nilai Tambah Manufaktur ke PDB,delta_pct_pdrb_pertanian_A_from_first,delta_pct_industri_tambang_BC_from_first,delta_agriculture_to_industry_shift_index_from_first
Sulawesi Tenggara,2022,23.28,20.25,8.36,13.55,36963.56,32163.42,13282.79,21512.48,28.61,1.229,84265429.39,62.39,8.12,-2.41,2.69,0.22
Sulawesi Tenggara,2023,23.01,21.44,8.77,12.62,40544.12,37767.46,15454.97,22238.37,30.21,1.313,97368042.32,61.84,8.7,-2.68,4.29,0.3
Sulawesi Tenggara,2024,23.48,21.13,9.4,12.15,44495.19,40028.08,17805.37,23018.48,30.53,1.3,,,,-2.21,4.61,0.29
Sulawesi Utara,2014,22.07,4.76,9.82,11.49,17800.0,3837.73,7919.92,9266.87,14.58,0.661,,,10.76,0.0,0.0,0.0
Sulawesi Utara,2015,21.69,4.75,9.46,11.57,19769.21,4333.25,8625.28,10544.04,14.21,0.655,49681714.34,,10.42,-0.38,-0.37,-0.01
Sulawesi Utara,2016,21.72,4.82,9.0,11.39,21828.44,4846.61,9044.18,11451.16,13.82,0.636,82469708.59,,9.92,-0.35,-0.76,-0.03
Sulawesi Utara,2017,21.53,4.84,9.36,11.47,23713.17,5329.46,10310.61,12635.54,14.2,0.66,87863674.76,,10.08,-0.54,-0.38,-0.0
Sulawesi Utara,2018,20.95,4.96,9.15,11.78,25037.17,5932.14,10939.19,14077.44,14.11,0.674,77633466.9,55.61,9.93,-1.12,-0.47,0.01
Sulawesi Utara,2019,20.83,5.05,8.71,11.83,27101.99,6571.43,11334.1,15396.39,13.76,0.661,81806694.63,54.81,9.45,-1.24,-0.82,0.0
Sulawesi Utara,2021,21.09,5.43,10.38,11.77,30075.42,7738.99,14796.99,16781.32,15.81,0.75,106417957.89,60.7,10.39,-0.98,1.23,0.09
Sulawesi Utara,2022,20.9,5.21,10.66,11.48,32816.28,8175.27,16744.43,18034.5,15.87,0.759,116465172.96,59.15,10.57,-1.17,1.29,0.1
Sulawesi Utara,2023,20.45,4.95,10.64,11.2,35165.39,8506.04,18295.07,19265.17,15.59,0.762,123161766.29,58.14,10.73,-1.62,1.01,0.1
Sulawesi Utara,2024,20.59,4.9,10.62,10.7,38583.04,9177.92,19890.49,20051.93,15.52,0.754,,,,-1.48,0.94,0.09
