provinsi,tahun,sektor_kode,sektor_nama,nilai_miliar_rp,pct_dari_total
Gorontalo,2019,Angkutan,"Sungai, Danau, dan Penyeberangan",77.61,0.08
Gorontalo,2019,Angkutan,Udara,514.3,0.52
Gorontalo,2019,Asuransi,dan Dana Pensiun,29.51,0.03
Gorontalo,2019,B,Pertambangan dan Penggalian,450.54,0.46
Gorontalo,2019,C,Industri Pengolahan,1755.2,1.78
Gorontalo,2019,D,Pengadaan Listrik dan Gas,19.44,0.02
Gorontalo,2019,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",25.71,0.03
Gorontalo,2019,F,Konstruksi,4391.21,4.44
Gorontalo,2019,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,5102.34,5.16
Gorontalo,2019,H,Transportasi dan Pergudangan,2366.71,2.39
Gorontalo,2019,I,Penyediaan Akomodasi dan Makan Minum,969.04,0.98
Gorontalo,2019,Industri,Batubara dan Pengilangan Migas,,
Gorontalo,2019,Industri,Makanan dan Minuman,1197.76,1.21
Gorontalo,2019,Industri,Pengolahan Tembakau,,
Gorontalo,2019,Industri,Tekstil dan Pakaian Jadi,42.2,0.04
Gorontalo,2019,Industri,"Kulit, Barang dari Kulit, dan Alas Kaki",,
Gorontalo,2019,Industri,"Kayu, Barang dari Kayu dan Gabus; dan Barang Anyaman dari Bambu, Rotan, dan Sejenisnya",163.98,0.17
Gorontalo,2019,Industri,Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,28.63,0.03
Gorontalo,2019,Industri,"Kimia, Farmasi, dan Obat Tradisional",0.83,0.0
Gorontalo,2019,Industri,Karet; Barang dari Karet dan Plastik,1.53,0.0
Gorontalo,2019,Industri,Barang Galian bukan Logam,122.43,0.12
Gorontalo,2019,Industri,Logam Dasar,,
Gorontalo,2019,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",21.58,0.02
Gorontalo,2019,Industri,Mesin dan Perlengkapan,1.27,0.0
Gorontalo,2019,Industri,Alat Angkutan,10.63,0.01
Gorontalo,2019,Industri,Furnitur,161.73,0.16
Gorontalo,2019,Industri,Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.63,0.0
Gorontalo,2019,J,Informasi dan Komunikasi,1100.11,1.11
Gorontalo,2019,Jasa,Pertanian dan Perburuan,143.87,0.15
Gorontalo,2019,Jasa,Perantara Keuangan,1124.21,1.14
Gorontalo,2019,Jasa,Keuangan Lainnya,479.34,0.48
Gorontalo,2019,Jasa,Penunjang Keuangan,2.68,0.0
Gorontalo,2019,K,Jasa Keuangan dan Asuransi,1635.75,1.65
Gorontalo,2019,L,Real Estat,771.44,0.78
Gorontalo,2019,"M,N",Jasa Perusahaan,38.62,0.04
Gorontalo,2019,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2599.96,2.63
Gorontalo,2019,P,Jasa Pendidikan,1822.04,1.84
Gorontalo,2019,Produk,Domestik Bruto,41145.45,41.63
Gorontalo,2019,Q,Jasa Kesehatan dan Kegiatan Sosial,1473.89,1.49
Gorontalo,2019,"R,S,T,U",Jasa Lainnya,605.31,0.61
Gorontalo,2019,Tanaman,Pangan,8587.99,8.69
Gorontalo,2019,Tanaman,Hortikultura,1092.56,1.11
Gorontalo,2019,Tanaman,Perkebunan,1067.0,1.08
Gorontalo,2020,A,"Pertanian, Kehutanan, dan Perikanan",16188.2,16.15
Gorontalo,2020,Angkutan,Rel,,
Gorontalo,2020,Angkutan,Darat,1559.64,1.56
Gorontalo,2020,Angkutan,Laut,100.68,0.1
Gorontalo,2020,Angkutan,"Sungai, Danau, dan Penyeberangan",77.46,0.08
Gorontalo,2020,Angkutan,Udara,405.74,0.4
Gorontalo,2020,Asuransi,dan Dana Pensiun,30.4,0.03
Gorontalo,2020,B,Pertambangan dan Penggalian,468.2,0.47
Gorontalo,2020,C,Industri Pengolahan,1799.86,1.8
Gorontalo,2020,D,Pengadaan Listrik dan Gas,21.44,0.02
Gorontalo,2020,E,"Pengadaan Air; Pengelolaan Sampah, Limbah, dan Daur Ulang",26.18,0.03
Gorontalo,2020,F,Konstruksi,4399.36,4.39
Gorontalo,2020,G,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,5100.3,5.09
Gorontalo,2020,H,Transportasi dan Pergudangan,2245.9,2.24
Gorontalo,2020,I,Penyediaan Akomodasi dan Makan Minum,964.41,0.96
Gorontalo,2020,Industri,Batubara dan Pengilangan Migas,,
Gorontalo,2020,Industri,Makanan dan Minuman,1258.99,1.26
Gorontalo,2020,Industri,Pengolahan Tembakau,,
Gorontalo,2020,Industri,Tekstil dan Pakaian Jadi,39.08,0.04
Gorontalo,2020,Industri,"Kulit, Barang dari Kulit, dan Alas Kaki",,
Gorontalo,2020,Industri,"Kayu, Barang dari Kayu dan Gabus; dan Barang Anyaman dari Bambu, Rotan, dan Sejenisnya",161.64,0.16
Gorontalo,2020,Industri,Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,28.16,0.03
Gorontalo,2020,Industri,"Kimia, Farmasi, dan Obat Tradisional",0.84,0.0
Gorontalo,2020,Industri,Karet; Barang dari Karet dan Plastik,1.54,0.0
Gorontalo,2020,Industri,Barang Galian bukan Logam,123.66,0.12
Gorontalo,2020,Industri,Logam Dasar,,
Gorontalo,2020,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",20.57,0.02
Gorontalo,2020,Industri,Mesin dan Perlengkapan,1.25,0.0
Gorontalo,2020,Industri,Alat Angkutan,10.57,0.01
Gorontalo,2020,Industri,Furnitur,151.19,0.15
Gorontalo,2020,Industri,Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.39,0.0
Gorontalo,2020,J,Informasi dan Komunikasi,1145.0,1.14
Gorontalo,2020,Jasa,Pertanian dan Perburuan,144.94,0.14
Gorontalo,2020,Jasa,Perantara Keuangan,1343.48,1.34
Gorontalo,2020,Jasa,Keuangan Lainnya,493.32,0.49
Gorontalo,2020,Jasa,Penunjang Keuangan,2.63,0.0
Gorontalo,2020,K,Jasa Keuangan dan Asuransi,1869.83,1.87
Gorontalo,2020,L,Real Estat,778.97,0.78
